"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows"
"Window","Previous View","⇧⌘F7","In Windows"
"Run/Debug","Terminate","⌘F2","Debugging"
"Text Editing","Select Next Word","⇧⌥→","Editing Text"
"Views","Show View (Variables)","⌥⌘Q V","In Windows"
"Run/Debug","Debug on Server","⇧⌥D R","In Windows"
"Source","Quick Assist - Rename in file","⌘2 R","Editing JavaScript Source"
"Views","Show View (Console)","⌥⌘Q C","In Windows"
"Text Editing","Scroll Line Down","⌃↓","Editing Text"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","JavaScript View"
"Edit","Content Assist","⌥/","In Dialogs and Windows"
"Web Page Editor Layout","Horizontal Layout","⇧⌘F10","Using Web Page Editor"
"File","Close All","⇧⌘W","In Windows"
"Edit","Context Information","⇧⌥?","In Windows"
"Uncategorized","Copy","⌘C","In Git Reflog View"
"Run/Debug","Run on Server","⇧⌥X R","In Windows"
"Navigate","Next Page","⌘F5","Using Web Page Editor"
"File","Rename","F2","In Windows"
"File","Properties","⌥↩","In Windows"
"Task Repositories","New Subtask","⇧Insert","In Tasks View"
"Text Editing","Line Start","⌘←","Editing Text"
"Source","Surround With Quick Menu","⌥⌘Z","In Windows"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text"
"Text Editing","To Upper Case","⇧⌘X","Editing Text"
"Window","Show System Menu","⇧⌘F10","In Windows"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Text Editing","Previous Word","⌥←","Editing Text"
"Run/Debug","All Instances","⇧⌘N","In Windows"
"Window","Switch to Editor","⇧⌘E","In Windows"
"Refactor - Java","Change Method Signature","⌥⌘C","In Windows"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows"
"Edit","Select Previous Element","⇧⌃←","Editing in Structured Text Editors"
"Navigate","Open Maven POM","⇧⌥P","In Windows"
"Run/Debug","Debug XSLT Transformation","⌥⌘D X","In Windows"
"Database Tools","Execute Selected Text","⌥X","Editing SQL"
"Navigate","Show In Breadcrumb","⌥⌘B","Editing Java Source"
"Navigate","Quick Hierarchy","⌘T","Editing Java Source"
"Views","Show View","⌥⌘Q Q","In Windows"
"Refactor - JavaScript","Rename - Refactoring ","⌥⌘R","JavaScript View"
"Search","References in Workspace","⇧⌘G","JavaScript View"
"Navigate","Open Manifest","⇧⌥⌘M","In Windows"
"Source","Quick Assist - Assign to var","⌘2 F","Editing JavaScript Source"
"Navigate","Backward History","⌥⌘←","In Windows"
"Navigate","Next Page","⌘F5","In Faces Config Editor"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Run/Debug","Step Over","F6","Debugging"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles"
"Source","Toggle Comment","⇧⌘C","Editing Properties Files"
"Edit","Restore Last Selection","⇧⌃↓","Editing JavaScript Source"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"Window","Quick Access","⌘3","In Windows"
"Spy","Plug-in Menu Spy","⇧⌥F2","In Dialogs and Windows"
"Source","Add Import","⇧⌘M","Editing JavaScript Source"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"Database Tools","Goto Matching Token","⇧⌘P","Editing SQL"
"Terminal view commands","Terminal view insert","⌥A","Terminal widget context"
"Views","JavaScript Script Explorer","⌥⌘Q P","JavaScript View"
"Server","Run","⌥⌘R","In Servers View"
"Source","Remove Block Comment","⇧⌘\","Editing JavaScript Source"
"Edit","Select Previous Element","⇧⌃←","Editing Java Source"
"Edit","Matching Tag","⇧⌃.","Editing in Structured Text Editors"
"Navigate","Next","⌘.","In Windows"
"Text Editing","Copy Lines","⌥⌘↓","Editing Text"
"Task Repositories","Mark Task Incomplete","⇧⌥I","In Tasks Editor"
"Web Page Editor Layout","Vertical Layout","⇧⌘F9","Using Web Page Editor"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","⇧⌥↑","In Tasks View"
"Database Tools","Edit in SQL Query Builder...","⌥Q","Editing SQL"
"Database Tools","Execute Current Text","⌥S","Editing SQL"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Search","Declaration in Workspace","⌘G","JavaScript View"
"Terminal view commands","Terminal view insert","⌥R","Terminal widget context"
